title.year,actor,rank,high,med,low,title.year,actor,rank,high,med,low,title.year,actor,rank,high,med,low,title.year,actor,rank,high,med,low,title.year,actor,rank,high,med,low,title.year,actor,rank,high,med,low
2014,Miles Teller,2,0,0,1,2014,J.K. Simmons,4,0,0,1,2014,Melissa Benoist,6,0,0,1,2014,Austin Stowell,8,0,0,1,2014,Jayson Blair,10,0,0,1,2014,Kavita Patil,12,0,0,1
2016,Elle Fanning,1.5,0,1,0,2016,Karl Glusman,3,0,1,0,2016,Jena Malone,4.5,0,1,0,2016,Bella Heathcote,6,0,1,0,2016,Abbey Lee,7.5,0,1,0,2016,Christina Hendricks,9,0,1,0
2016,Corbin Reid,1.5,0,1,0,2016,Wes Robinson,3,0,1,0,2016,Valorie Curry,4.5,0,1,0,2016,James Allen McCune,6,0,1,0,2016,Callie Hernandez,7.5,0,1,0,2016,Brandon Scott,9,0,1,0
2010,Johnny Depp,1,1,0,0,2010,Anne Hathaway,2,1,0,0,2010,Helena Bonham Carter,3,1,0,0,2010,Crispin Glover,4,1,0,0,2010,Mia Wasikowska,5,1,0,0,2010,Marton Csokas,6,1,0,0
2016,Gong Yoo,1.5,0,1,0,2016,Ma Dong-Seok,3,0,1,0,2016,Jung Yoo-mi,4.5,0,1,0,2016,Choi Woo-shik,6,0,1,0,2016,Ahn So-hee,7.5,0,1,0,2016,Kim Soo-Ahn,9,0,1,0
2016,Jack Black,1,1,0,0,2016,Bryan Cranston,2,1,0,0,2016,Dustin Hoffman,3,1,0,0,2016,Angelina Jolie,4,1,0,0,2016,J.K. Simmons,5,1,0,0,2016,Jackie Chan,6,1,0,0
2016,Casey Affleck,1.5,0,1,0,2016,Chiwetel Ejiofor,3,0,1,0,2016,Kate Winslet,4.5,0,1,0,2016,Aaron Paul,6,0,1,0,2016,Norman Reedus,7.5,0,1,0,2016,Gal Gadot,9,0,1,0
2012,Christian Bale,1,1,0,0,2012,Michael Caine,2,1,0,0,2012,Gary Oldman,3,1,0,0,2012,Anne Hathaway,4,1,0,0,2012,Tom Hardy,5,1,0,0,2012,Marion Cotillard,6,1,0,0
2010,DÌ©borah FranÌ_ois,1.5,0,1,0,2010,Mathieu Demy,3,0,1,0,2010,Alain Cauchi,4.5,0,1,0,2010,Benjamin Siksou,6,0,1,0,2010,Anna Sigalevitch,7.5,0,1,0,2010,Full Cast & Crew,9,0,1,0
2009,Ed Asner,1,1,0,0,2009,Christopher Plummer,2,1,0,0,2009,Jordan Nagai,3,1,0,0,2009,Bob Peterson,4,1,0,0,2009,Delroy Lindo,5,1,0,0,2009,Jerome Ranft,6,1,0,0
2009,Sam Worthington,1,1,0,0,2009,Zoe Saldana,2,1,0,0,2009,Sigourney Weaver,3,1,0,0,2009,Stephen Lang,4,1,0,0,2009,Michelle Rodriguez,5,1,0,0,2009,Giovanni Ribisi,6,1,0,0
1986,Serena Grandi,1.5,0,1,0,1986,Fabrice Josso,3,0,1,0,1986,Marina Vlady,4.5,0,1,0,1986,Claudine Auger,6,0,1,0,1986,FranÌ_ois Perrot,7.5,0,1,0,1986,AurÌ©lien Recoing,9,0,1,0
2014,Shailene Woodley,1.5,0,1,0,2014,Ansel Elgort,3,0,1,0,2014,Nat Wolff,4.5,0,1,0,2014,Laura Dern,6,0,1,0,2014,Sam Trammell,7.5,0,1,0,2014,Willem Dafoe,9,0,1,0
1977,Mark Hamill,1,1,0,0,1977,Harrison Ford,2,1,0,0,1977,Carrie Fisher,3,1,0,0,1977,Peter Cushing,4,1,0,0,1977,Alec Guinness,5,1,0,0,1977,Anthony Daniels,6,1,0,0
2015,Brie Larson,1.5,0,1,0,2015,Jacob Tremblay,3,0,1,0,2015,Joan Allen,4.5,0,1,0,2015,Sean Bridgers,6,0,1,0,2015,William H. Macy,7.5,0,1,0,2015,Megan Park,9,0,1,0
2011,DÌ©borah RÌ©vy,2,0,0,1,2011,HÌ©lÌ¬ne Zimmer,4,0,0,1,2011,Gowan Didi,6,0,0,1,2011,Johnny Amaro,8,0,0,1,2011,Johan LibÌ©reau,10,0,0,1,2011,Jean-FranÌ_ois Gallotte,12,0,0,1
2015,Dakota Johnson,1,1,0,0,2015,Jamie Dornan,2,1,0,0,2015,Jennifer Ehle,3,1,0,0,2015,Eloise Mumford,4,1,0,0,2015,Victor Rasuk,5,1,0,0,2015,Luke Grimes,6,1,0,0
2014,Shailene Woodley,1,1,0,0,2014,Theo James,2,1,0,0,2014,Kate Winslet,3,1,0,0,2014,Miles Teller,4,1,0,0,2014,Ray Stevenson,5,1,0,0,2014,Maggie Q,6,1,0,0
2014,Liam Neeson,1.5,0,1,0,2014,Dan Stevens,3,0,1,0,2014,David Harbour,4.5,0,1,0,2014,Boyd Holbrook,6,0,1,0,2014,Adam David Thompson,7.5,0,1,0,2014,Razane Jammal,9,0,1,0
2015,Lily James,1,1,0,0,2015,Cate Blanchett,2,1,0,0,2015,Richard Madden,3,1,0,0,2015,Helena Bonham Carter,4,1,0,0,2015,Holliday Grainger,5,1,0,0,2015,Sophie McShera,6,1,0,0
2016,Elizabeth Mitchell,1.5,0,1,0,2016,Frank Grillo,3,0,1,0,2016,Mykelti Williamson,4.5,0,1,0,2016,Edwin Hodge,6,0,1,0,2016,Raymond J. Barry,7.5,0,1,0,2016,Ethan Phillips,9,0,1,0
2014,Michael Keaton,1.5,0,1,0,2014,Zach Galifianakis,3,0,1,0,2014,Edward Norton,4.5,0,1,0,2014,Emma Stone,6,0,1,0,2014,Naomi Watts,7.5,0,1,0,2014,Amy Ryan,9,0,1,0
2016,Zac Efron,1.5,0,1,0,2016,Robert De Niro,3,0,1,0,2016,Julianne Hough,4.5,0,1,0,2016,Aubrey Plaza,6,0,1,0,2016,Dermot Mulroney,7.5,0,1,0,2016,Zoey Deutch,9,0,1,0
