ID,director_facebook_likes,cast_total_facebook_likes,num_voted_users,num_user_for_reviews,imdb_score,movie_facebook_likes,Revenue,Budget,profit,response
289,112,12676,213898,250,7.2,36000,115350426,17000000,98350426,Profit
290,116,13028,402645,845,7.8,0,450717150,85000000,365717150,Profit
291,93,578,20837,127,4.8,10000,30894815,10000000,20894815,Profit
292,138,20952,264047,491,7.3,64000,161772375,31000000,130772375,Profit
293,138,534,421818,2789,7.2,0,738599701,150000000,588599701,Profit
294,88,25354,145321,139,6.6,14000,877244782,95000000,782244782,Profit
295,93,4628,138661,173,6.4,0,752600867,165000000,587600867,Profit
296,110,1198,139432,418,7.8,0,124900000,3500000,121400000,Profit
297,102,2998,156225,502,6.8,0,111340801,50000000,61340801,Profit
298,130,2047,412454,962,8,21000,470654000,7000000,463654000,Profit
299,90,1227,152601,156,7,0,242988466,100000000,142988466,Profit
300,122,28933,93548,307,7.2,23000,34441873,30000000,4441873,Profit
301,94,1258,166791,132,7,0,886686817,90000000,796686817,Profit
302,119,37387,428916,667,7.4,75000,47042000,30000000,17042000,Profit
303,106,10882,86627,204,5.9,28000,174578751,90000000,84578751,Profit
304,174,16008,314253,1966,6.6,0,758239851,125000000,633239851,Profit
305,153,26029,322395,1171,6.6,11000,553799566,140000000,413799566,Profit
306,151,45648,873649,2054,8.5,29000,289847354,90000000,199847354,Profit
307,90,63165,132415,288,6,0,367275019,75000000,292275019,Profit
308,125,19359,284852,627,6.4,0,362744280,110000000,252744280,Profit
309,131,3229,218711,485,6.8,27000,288383523,32500000,255883523,Profit
310,92,27572,237248,460,6.8,0,43928932,21000000,22928932,Profit
311,99,23562,16984,96,5.3,0,78636257,29000000,49636257,Profit
312,146,16948,207839,435,6.7,0,356613439,150000000,206613439,Profit
313,114,12908,184561,554,6.7,123000,125537191,110000000,15537191,Profit
314,153,58753,321795,973,7.5,10000,933959197,250000000,683959197,Profit
315,132,27659,87682,174,7,43000,42972994,25000000,17972994,Profit
316,130,1233,69457,271,6.7,0,191185897,40000000,151185897,Profit
317,99,40312,66123,219,6.1,28000,104384188,31000000,73384188,Profit
318,109,20148,156898,172,6.7,22000,131940411,61000000,70940411,Profit
319,111,995,73249,212,7.5,36000,62076141,11000000,51076141,Profit
320,189,17716,782610,1377,8.5,30000,284600000,60000000,224600000,Profit
321,94,1010,65299,455,6.2,27000,98450062,5000000,93450062,Profit
322,106,16967,200647,384,7,24000,222809600,50000000,172809600,Profit
323,130,15972,248045,890,6.3,0,433013274,98000000,335013274,Profit
324,120,42028,291603,505,8.1,9000,138530565,6000000,132530565,Profit
325,119,54031,172707,462,6.3,37000,103039258,100000000,3039258,Profit
326,130,3133,452465,695,7.7,89000,232324128,44500000,187824128,Profit
327,109,16179,97045,285,5.7,55000,169837010,40000000,129837010,Profit
328,124,43453,198066,426,7.6,13000,83282296,53000000,30282296,Profit
329,129,13961,336235,782,7.2,0,383531464,110000000,273531464,Profit
330,111,35084,285623,497,7,0,176070171,60000000,116070171,Profit
331,141,48153,525801,667,8,15000,352114312,52000000,300114312,Profit
332,140,2114,124242,622,6.5,4000,54700105,33000000,21700105,Profit
333,123,14727,232710,599,7.7,26000,168167691,55000000,113167691,Profit
334,142,42990,464310,3516,6.7,0,649398328,120000000,529398328,Profit
335,93,1148,314630,483,7.2,0,919838758,150000000,769838758,Profit
336,143,15838,394317,1051,7.7,23000,429632142,90000000,339632142,Profit
337,117,16325,172878,203,6.4,19000,214918407,80000000,134918407,Profit
338,131,13679,255447,692,6.9,0,347451894,100000000,247451894,Profit
339,103,57881,246803,474,6.7,108000,312573423,100000000,212573423,Profit
340,117,2127,75280,267,6.9,0,111584787,9500000,102084787,Profit
341,131,2943,68565,300,6.3,0,152427960,30000000,122427960,Profit
342,123,14100,265507,388,7.7,90000,121201940,15000000,106201940,Profit
