0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Neighbors 2: Sorority Rising (2016),Status Released,Original Language English,Runtime 1h 31m,"Budget $35,000,000.00",Revenue -,Homepage http://www.neighbors-movie.com/,Release Information,Seth Rogen,Rose Byrne,Zac Efron,Chloë Grace Moretz,Kiersey Clemons,Dave Franco,Full Cast & Crew,
Me Before You (2016),Status Released,Original Language English,Runtime 1h 50m,"Budget $20,000,000.00",Revenue -,Homepage http://www.mebeforeyoumovie.net,Release Information,Emilia Clarke,Sam Claflin,Janet McTeer,Charles Dance,Brendan Coyle,Steve Peacocke,Full Cast & Crew,
The Equalizer (2014),Status Released,Original Language English,Runtime 2h 12m,"Budget $55,000,000.00","Revenue $192,330,738.00",Homepage -,Release Information,Denzel Washington,Marton Csokas,Chloë Grace Moretz,David Harbour,Haley Bennett,Bill Pullman,Full Cast & Crew,
Ted 2 (2015),Status Released,Original Language English,Runtime 1h 55m,"Budget $68,000,000.00","Revenue $215,863,606.00",Homepage -,Release Information,Mark Wahlberg,Seth MacFarlane,Amanda Seyfried,Jessica Barth,Giovanni Ribisi,Morgan Freeman,Full Cast & Crew,
Lucy (2014),Status Released,Original Language English,Runtime 1h 29m,"Budget $40,000,000.00","Revenue $463,360,063.00",Homepage -,Release Information,Scarlett Johansson,Morgan Freeman,Choi Min-sik,Amr Waked,Julian Rhind-Tutt,Pilou Asbæk,Full Cast & Crew,
The Nice Guys (2016),Status Released,Original Language English,Runtime 1h 56m,"Budget $50,000,000.00","Revenue $36,261,763.00",Homepage http://www.warnerbros.com/nice-guys,Release Information,Russell Crowe,Ryan Gosling,Angourie Rice,Matt Bomer,Margaret Qualley,Keith David,Full Cast & Crew,
Ice Age: Collision Course (2016),Status Released,Original Language English,Runtime 1h 40m,"Budget $105,000,000.00",Revenue -,Homepage http://www.iceagemovies.com/films/ice-age-collision-course,Release Information,John Leguizamo,Keke Palmer,Denis Leary,Ray Romano,Wanda Sykes,Jennifer Lopez,Full Cast & Crew,
Inside Out (2015),Status Released,Original Language English,Runtime 1h 34m,"Budget $175,000,000.00","Revenue $857,427,711.00",Homepage http://movies.disney.com/inside-out,Release Information,Amy Poehler,Phyllis Smith,Richard Kind,Bill Hader,Lewis Black,Mindy Kaling,Full Cast & Crew,
Nerve (2016),Status Released,Original Language English,Runtime 1h 36m,"Budget $20,000,000.00",Revenue -,Homepage -,Release Information,Dave Franco,Emma Roberts,Emily Meade,Kimiko Glenn,Juliette Lewis,Samira Wiley,Full Cast & Crew,
The Lord of the Rings: The Fellowship of the Ring (2001),Status Released,Original Language English,Runtime 2h 58m,"Budget $93,000,000.00","Revenue $871,368,364.00",Homepage http://www.lordoftherings.net/,Release Information,Elijah Wood,Ian McKellen,Viggo Mortensen,Liv Tyler,Orlando Bloom,John Rhys-Davies,Full Cast & Crew,
