Title,Studio,Total Gross,Total Theaters,Opening,Opening Theaters,open
The 4th Animation Celebration,EXPe,"$181,273",4,"$35,216",4,4/1/1992
The 4th Tenor,Wine,"$2,152",2,"$2,152",2,11/22/2002
5 Broken Cameras,KL,"$109,983",9,"$6,674",1,5/30/2012
5 Days of War,Anch.,"$17,479",6,"$6,254",2,8/19/2011
5 Flights Up,Focus,"$1,020,921",94,"$238,491",87,5/8/2015
5 to 7,IFC,"$162,685",27,"$18,006",2,4/3/2015
50 First Dates,Sony,"$120,908,074","3,612","$39,852,237","3,591",2/13/2004
50 to 1,10F,"$1,064,454",133,"$78,480",19,3/21/2014
50 Ways of Saying Fabulous,Olive,"$4,800",1,"$4,800",1,6/2/2006
50/50,Sum.,"$35,014,192","2,479","$8,644,095","2,458",9/30/2011
51 Birch Street,Truly,"$84,689",6,"$10,827",2,10/18/2006
52 Pick-Up,Can.,"$5,186,646",730,"$1,654,835",730,11/7/1986
52 Tuesdays,KL,n/a,n/a,"$1,828",1,4/3/2015
54,Mira.,"$16,757,163","1,869","$6,611,532","1,859",8/28/1998
56 Up,FRun,"$701,278",33,"$22,088",1,1/4/2013
The 5th Quarter,RM,"$408,159",123,"$202,342",123,3/25/2011
The 5th Wave,Sony,"$34,912,982","2,908","$10,326,356","2,908",1/22/2016
5x2,Think,"$128,752",5,"$15,667",2,6/10/2005
6 Month Rule,SIP,"$14,057",3,"$1,963",1,6/1/2012
6 Souls,RTWC,n/a,54,n/a,54,4/5/2013
6 Years,Orch.,n/a,n/a,n/a,n/a,8/18/2015
600 Millas,N/A,n/a,n/a,n/a,n/a,TBD
The 6th Day,Sony,"$34,604,280","2,516","$13,020,883","2,516",11/17/2000
The 6th Man,BV,"$14,772,788","1,231","$4,128,178","1,227",3/28/1997
7 Boxes,BGP,"$38,106",7,"$6,447",6,2/7/2014
7 Chinese Brothers,Scre.,"$28,180",8,n/a,n/a,8/28/2015
7 Dias,Xen.,"$16,791",8,"$10,548",8,8/17/2007
7 Khoon Maaf,UTV,"$270,207",68,"$164,153",65,2/18/2011
7 Minutes,SM,n/a,n/a,n/a,n/a,6/26/2015
'71,RAtt.,"$1,270,847",121,"$55,761",4,2/27/2015
71 Into the Fire,JS,"$176,638",20,"$77,161",20,7/30/2010
7500,CBS,n/a,n/a,n/a,n/a,TBD
7th Street,PAc.,"$15,629",1,"$6,354",1,1/17/2003
