Title,Studio,Total Gross,Total Theaters,Opening,Opening Theaters,open
The Adventures of Mark Twain,Atl,"$849,915",221,"$226,525",221,1/17/1986
The Adventures of Milo and Otis,Col.,"$2,948,215*",239,"$470,084",239,8/25/1989
Adventures of Milo and Otis (Re-issue),Col.,"$10,351,534*",915,"$1,708,915",914,6/15/1990
The Adventures of Pinocchio,NL,"$15,094,530","1,879","$3,832,551","1,779",7/26/1996
The Adventures of Pluto Nash,WB,"$4,420,080","2,320","$2,182,900","2,320",8/16/2002
Adventures of Power,Vari.,"$17,419",3,"$4,254",2,10/9/2009
"The Adventures of Priscilla, Queen of the Desert",Gram.,"$11,220,670",192,"$219,433",7,8/10/1994
The Adventures of Rocky & Bullwinkle,Uni.,"$26,005,820","2,482","$6,814,270","2,460",6/30/2000
The Adventures of Sebastian Cole,ParC,"$100,841",7,"$12,598",7,8/6/1999
The Adventures of Sharkboy and Lavagirl in 3D,Dim.,"$39,177,684","2,655","$12,582,088","2,655",6/10/2005
The Adventures of Tintin,Par.,"$77,591,831","3,087","$9,720,993","3,087",12/21/2011
Advise & Consent,Col.,n/a,n/a,n/a,n/a,6/6/1962
The Advocate,Mira.,"$602,329",17,"$30,892",3,8/24/1994
The Advocate: A Missing Body,CJ,"$50,162",9,"$19,770",9,10/23/2015
Ae Dil Hai Mushkil,FIP,n/a,n/a,n/a,n/a,10/28/2016
Aeon Flux,Par.,"$25,874,337","2,608","$12,661,112","2,608",12/2/2005
Aferim!,BWP,"$108,110",8,"$15,892",5,1/22/2016
An Affair of Love,FL,"$359,050",19,"$30,281",4,8/11/2000
The Affair of the Necklace,WB,"$471,210",40,"$125,523",18,11/30/2001
The Afflicted,Noct.,"$212,940",13,"$90,272",13,10/21/2011
Afflicted (2014),CBS,"$121,179",44,"$69,447",44,4/4/2014
Affliction,Lions,"$6,330,054",335,"$63,979",3,12/30/1998
Afghan Star,Zeit.,"$102,115",5,"$3,671",1,6/26/2009
Afraid of the Dark,FL,"$53,932",n/a,n/a,n/a,7/24/1992
Africa's Elephant Kingdom (IMAX),Imax,"$13,485,455",15,"$114,105",14,5/1/1998
Africa: The Serengeti (IMAX),N/A,n/a,n/a,n/a,n/a,4/1/1994
African Cats,BV,"$15,428,747","1,224","$6,003,200","1,220",4/22/2011
The African Queen,UA,n/a,n/a,n/a,n/a,12/23/1951
After,N/A,"$24,544",1,"$6,333",1,9/9/2011
After Dark's Horror Fest: 8 Films to Die For,Free,"$2,575,000",488,"$2,310,680",488,11/17/2006
After Dark's Horrorfest 2,ADF,"$874,635",323,"$502,148",323,11/9/2007
"After Dark, My Sweet",Ave,"$2,678,414",153,"$244,919",30,8/24/1990
After Earth,Sony,"$60,522,097","3,401","$27,520,040","3,401",5/31/2013
After Freedom,Vita.,"$35,639",2,"$11,456",2,5/14/2004
After Hours,WB,"$10,609,321",503,"$45,435",1,9/13/1985
After Innocence,NYer,"$114,264",4,"$10,194",1,10/21/2005
After Life,AL,"$801,985",11,"$11,791",1,5/14/1999
After Midnight,MGM,"$76,325",224,"$59,260",224,11/3/1989
After Midnight,Avat.,"$50,469",3,"$7,634",2,12/3/2004
After School,MovE,"$3,967",n/a,n/a,n/a,9/23/1988
After The Ball,Free,"$161,820",43,"$31,718",41,2/27/2015
After the Cup: Sons of Sakhnin United,Vari.,"$11,538",3,"$2,501",1,5/21/2010
After the Life: Trilogy 3,Magn.,"$27,256",3,"$5,198",1,2/13/2004
After the Sunset,NL,"$28,331,233","2,819","$11,100,392","2,819",11/12/2004
After the Thin Man,MGM,n/a,n/a,n/a,n/a,12/25/1936
After the Wedding,IFC,"$1,534,584",55,"$47,311",5,3/30/2007
After the Wizard,BGP,"$3,184",2,"$2,527",2,8/10/2012
After Tiller,Osci.,"$72,125",6,"$15,500",2,9/20/2013
After Words,L33,n/a,10,n/a,10,8/21/2015
After.Life,Anch.,"$108,595",41,"$59,946",41,4/9/2010
Afterglow,SPC,"$2,465,960",353,"$50,052",7,12/26/1997
The Afterlight,CP,"$3,059",1,"$1,466",1,9/10/2010
Aftermath (2014),Free,"$3,451",1,"$1,124",1,11/28/2014
Afternoon Delight,TFA,"$174,496",39,"$27,352",2,8/30/2013
Afternoon of a Faun,KL,"$172,450",11,"$15,292",2,2/5/2014
Afterschool,IFC,"$3,911",1,"$2,606",1,10/2/2009
Aftershock,RTWC,"$58,510",110,"$40,179",110,5/10/2013
Aftershock (Tangshan Dadizhen),CL,"$62,962",25,"$19,329",25,10/29/2010
Against All Flags,Uni.,n/a,n/a,n/a,n/a,12/24/1952
Against All Odds,Col.,"$21,689,062",979,"$3,766,128",976,3/2/1984
Against the Ropes,Par.,"$5,884,190","1,601","$3,038,546","1,601",2/20/2004
Against the Sun,TAFC,"$4,646",11,"$3,023",11,1/23/2015
Agatha,WB,"$7,500,000",n/a,n/a,n/a,2/9/1979
The Age of Adaline,LGF,"$42,629,776","3,070","$13,203,458","2,991",4/24/2015
The Age of Innocence,Col.,"$32,255,440",839,"$2,317,289",83,9/17/1993
The Age of Shadows,CJ,n/a,33,n/a,33,9/23/2016
Age of Uprising: The Legend of Michael Kohlhaas (U.S. only),MBox,"$3,313",4,n/a,n/a,5/30/2014
Agent Cody Banks,MGM,"$47,938,330","3,369","$14,064,317","3,369",3/14/2003
Agent Cody Banks 2: Destination London,MGM,"$23,630,159","2,973","$8,014,005","2,973",3/12/2004
Agent Vinod,Eros,"$698,210",122,"$427,043",122,3/23/2012
The Aggressives,7Art,"$6,533",1,"$3,769",1,10/7/2005
Agneepath,Eros,"$1,986,748",132,"$1,140,464",132,1/26/2012
Agnes and His Brothers,FRun,"$2,731",1,"$1,544",1,6/9/2006
Agnes Browne,USA,"$148,853",21,"$6,322",2,12/3/1999
Agnes of God,Col.,"$25,627,836",646,"$221,552",8,9/13/1985
Agnivarsha - The Fire and the Rain,Cineb.,"$51,549",8,"$18,887",8,8/30/2002
The Agony and the Ecstasy,Fox,n/a,n/a,n/a,n/a,10/7/1965
Agora,NM,"$619,423",17,"$33,262",2,5/28/2010
The Agronomist,Think,"$226,189",21,"$30,855",7,4/23/2004
Ahead of Time,Vita.,"$33,024",3,"$12,790",1,9/10/2010
Ai Weiwei: Never Sorry,IFC,"$534,100",37,"$41,104",5,7/27/2012
Ai Weiwei: The Fake Case,ICir,"$45,255",8,"$5,066",1,5/16/2014
Aida at La Scala,Emr.,"$222,927",52,"$97,874",52,12/9/2007
Aileen: The Life and Death of a Serial Killer,Lant,"$97,362",6,"$16,158",3,1/9/2004
Aimee & Jaguar,Zeit.,"$927,107",16,"$42,919",7,8/11/2000
Ain't In It For My Health: A Film About Levon Helm,KL,"$113,966",10,"$7,937",1,4/19/2013
Ain't Them Bodies Saints,IFC,"$396,519",44,"$26,419",3,8/16/2013
Air America,TriS,"$31,053,601","1,902","$8,064,480","1,902",8/10/1990
Air Bud,BV,"$23,144,499","1,795","$4,878,632","1,795",8/1/1997
Air Bud: Golden Receiver,Mira.,"$10,224,116","1,669","$2,603,726","1,669",8/14/1998
Air Force,WB,n/a,n/a,n/a,n/a,2/3/1943
Air Force One,Sony,"$172,956,409","2,981","$37,132,505","2,919",7/25/1997
Air Guitar Nation,Shad.,"$71,471",10,"$7,035",1,3/23/2007
The Air I Breathe,Think,"$25,775",7,"$19,487",7,1/25/2008
Air Racers 3D,3D,"$1,309,987",10,n/a,n/a,4/6/2012
The Air Up There,Mira.,"$21,011,318","1,721","$5,240,859","1,507",1/7/1994
Airborne,WB,"$2,850,263",982,"$1,262,239",982,9/17/1993
Airheads,Fox,"$5,751,882","1,229","$1,911,739","1,228",8/5/1994
Airplane II: The Sequel,Par.,"$27,150,534","1,300","$5,329,208","1,150",12/10/1982
Airplane!,Par.,"$83,453,539",n/a,n/a,n/a,6/27/1980
Airport,Uni.,"$100,489,151",n/a,n/a,n/a,3/5/1970
Airport '77,Uni.,n/a,n/a,n/a,n/a,3/11/1977
Airport 1975,Uni.,n/a,n/a,n/a,n/a,10/18/1974
Aitraaz,Zee,"$91,998",24,n/a,n/a,11/12/2004
Ajami,Kino,"$622,403",23,"$35,792",3,2/3/2010
AKA,Emp.,"$49,988",3,"$7,553",3,12/12/2003
Akeelah and the Bee,LGF,"$18,848,430","2,195","$6,011,585","2,195",4/28/2006
Akira,Stl.,"$439,162*",2,"$11,263",2,12/25/1989
Akira (Re-issue),Pio.,"$114,009*",1,"$22,428",1,3/30/2001
Akira Kurosawa's Dreams,WB,"$1,963,207",n/a,n/a,n/a,8/24/1990
Al Franken: God Spoke,Bal.,"$102,990",10,"$10,533",2,9/13/2006
Alabama Moon,N/A,"$47,305",7,"$6,568",7,3/18/2011
Aladdin,BV,"$217,350,219","2,331","$196,664",2,11/13/1992
Alamar,FM,"$61,613",3,"$7,668",1,7/14/2010
The Alamo (1960),UA,n/a,n/a,n/a,n/a,10/24/1960
The Alamo (2004),BV,"$22,414,961","2,609","$9,124,701","2,609",4/9/2004
Alan Partridge: The Movie,Magn.,"$153,426",22,"$12,664",3,4/4/2014
An Alan Smithee Film: Burn Hollywood Burn,BV,"$45,779",19,"$28,992",19,2/27/1998
The Alarmist,Lions,"$59,864",11,"$7,787",1,10/16/1998
Alaska,Sony,"$11,829,959","1,566","$2,914,992","1,566",8/16/1996
Albatross,IFC,n/a,1,n/a,1,1/13/2012
Albert Nobbs,RAtt.,"$3,014,696",245,"$696,088",245,1/27/2012
Albino Alligator,Mira.,"$339,379",12,"$101,176",12,1/17/1997
Alex and Emma,WB,"$14,218,698","2,310","$6,111,074","2,310",6/20/2003
Alex Cross,LG/S,"$25,888,412","2,541","$11,396,768","2,539",10/19/2012
Alex of Venice,Scre.,n/a,n/a,n/a,n/a,4/17/2015
Alex Rider: Operation Stormbreaker,Wein.,"$677,646",221,n/a,120,10/6/2006
Alexander,WB,"$34,297,191","2,445","$13,687,087","2,445",11/24/2004
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",BV,"$66,954,149","3,117","$18,360,230","3,088",10/10/2014
Alexander the Great,UA,n/a,n/a,n/a,n/a,3/28/1956
Alexandra,CGld,"$128,222",4,"$9,401",1,3/26/2008
Alexandra's Project,All.,"$752,148",29,"$37,078",10,12/19/2003
Alfie,Par.,"$13,399,812","2,215","$6,218,335","2,215",11/5/2004
"Alfredo, Alfredo",Par.,n/a,n/a,n/a,n/a,Dec 1973
The Algerian,Hann.,n/a,n/a,n/a,n/a,6/26/2015
Algorithms,FRun,"$2,021",1,$317,1,10/17/2014
Ali,Sony,"$58,203,105","2,521","$14,710,892","2,446",12/25/2001
Alias Betty,Wells,"$208,400",8,"$23,929",4,9/13/2002
The Alibi,IDP,n/a,n/a,n/a,n/a,N/A
Alice,Orion,"$7,331,647",325,"$36,274",3,12/25/1990
Alice Adams,RKO,n/a,n/a,n/a,n/a,8/23/1935
Alice Doesn't Live Here Anymore,WB,"$18,600,000",n/a,n/a,n/a,12/9/1974
Alice et Martin,USA,"$500,896",20,"$51,294",8,7/21/2000
Alice in Wonderland (1951),RKO,n/a,n/a,n/a,n/a,7/28/1951
Alice in Wonderland (2010),BV,"$334,191,110","3,739","$116,101,023","3,728",3/5/2010
Alice Neel,SeeT,"$48,969",1,"$6,207",1,4/20/2007
Alice Through the Looking Glass,BV,"$77,041,381","3,763","$26,858,726","3,763",5/27/2016
Alice's House (A Casa de Alice),Vita.,"$61,822",6,"$19,083",6,1/25/2008
Alien,Fox,"$78,944,891*",757,"$3,527,881",91,5/25/1979
Alien 3,Fox,"$55,473,545","2,227","$19,449,867","2,227",5/22/1992
Alien Abduction,IFC,"$12,897",13,"$10,514",13,4/4/2014
Alien Adventure (IMAX),NWav,"$8,959,784",10,"$38,410",4,8/20/1999
Alien Love Triangle,N/A,n/a,n/a,n/a,n/a,TBD
Alien Nation,Fox,"$25,216,243","1,436","$8,421,429","1,430",10/7/1988
Alien Resurrection,Fox,"$47,795,658","2,449","$16,474,092","2,415",11/26/1997
Alien Trespass,RAtt.,"$104,526",40,"$43,437",40,4/3/2009
Alien Vs. Predator,Fox,"$80,282,231","3,401","$38,291,056","3,395",8/13/2004
Alien: Covenant,Fox,n/a,n/a,n/a,n/a,8/4/2017
Alien: The Director's Cut,Fox,"$1,986,910*",347,"$1,023,665",347,10/29/2003
Aliens,Fox,"$85,160,248","1,454","$10,052,042","1,437",7/18/1986
Aliens in the Attic,Fox,"$25,200,412","3,108","$8,008,423","3,106",7/31/2009
Aliens of the Deep (IMAX),BV,"$8,968,684",27,"$479,368",27,1/28/2005
Aliens Vs. Predator - Requiem,Fox,"$41,797,066","2,617","$10,059,425","2,611",12/25/2007
Alila,Kino,"$50,961",4,"$3,063",1,2/27/2004
Alita: Battle Angel,Fox,n/a,n/a,n/a,n/a,7/20/2018
Alive,BV,"$36,733,909","1,337","$8,624,292","1,132",1/15/1993
Alive Inside,B360,"$256,682",20,"$7,200",1,7/18/2014
Aliyah,FM,"$8,253",2,"$1,627",1,6/14/2013
All About Eve,Fox,n/a*,n/a,n/a,n/a,10/13/1950
All About Eve (re-issue),FoxS,"$63,463*",1,"$10,177",1,10/6/2000
All About Evil,PC,"$7,995",1,"$5,070",1,7/9/2010
All About Lily Chou-Chou,Cow.,"$26,485",2,"$3,064",1,7/12/2002
All About My Mother,SPC,"$8,272,296",145,"$50,362",4,11/5/1999
All About Steve,Fox,"$33,862,903","2,265","$11,241,214","2,251",9/4/2009
All About the Benjamins,NL,"$25,916,319","1,519","$10,007,291","1,505",3/8/2002
All Access: Front Row. Backstage. Live! (IMAX),Imax,"$992,683",35,"$69,992",33,4/6/2001
All Babes Want to Kill Me,HCF,"$11,975",1,"$1,831",1,2/16/2005
All Dogs Go to Heaven,UA,"$27,100,027","1,591","$4,712,834","1,577",11/17/1989
All Dogs Go to Heaven 2,MGM,"$8,620,678","2,037","$2,256,118","2,037",3/29/1996
All Eyez on Me,ORF,n/a,n/a,n/a,n/a,TBD
All Good Things,Magn.,"$582,024",35,"$37,172",2,12/3/2010
All Hat,All.,"$15,198",2,n/a,n/a,1/18/2008
All I Desire,Uni.,n/a,n/a,n/a,n/a,Jul 1953
All I Wanna Do,Red.,"$5,838*",1,"$3,799",1,3/24/2000
All I Want for Christmas,Par.,"$14,812,144","1,507","$3,645,720","1,507",11/8/1991
All is Bright,Anch.,"$4,556",10,"$4,556",10,10/4/2013
All Is Lost,RAtt.,"$6,263,670",483,"$93,583",6,10/18/2013
All My Loved Ones,N.Arts,"$6,237",1,"$3,222",1,8/16/2002
All Night Long,Uni.,"$4,454,295",n/a,"$1,392,852",362,3/6/1981
All of Me,Uni.,"$36,403,064","1,200","$5,803,848","1,192",9/21/1984
All or Nothing,UA,"$201,546",16,"$25,890",7,10/25/2002
All Over Me,FL,"$292,577",n/a,n/a,n/a,4/25/1997
All Over the Guy,Lions,"$1,022,324",35,"$41,606",7,8/10/2001
All Quiet on the Western Front,Uni.,n/a,n/a,n/a,n/a,4/21/1930
All Roads Lead Home,Wald.,"$43,907",46,"$31,785",46,9/26/2008
All That Heaven Allows,Uni.,n/a,n/a,n/a,n/a,Dec 1955
All That Jazz,Fox,"$37,823,676",n/a,"$86,229",5,12/20/1979
All the Best,Yash,"$120,713",55,"$96,054",55,10/16/2009
All the Boys Love Mandy Lane,RTWC,n/a,n/a,n/a,n/a,10/11/2013
All the King's Men,Sony,"$7,221,458","1,520","$3,672,366","1,514",9/22/2006
All the Little Animals,Lions,"$26,558",10,n/a,n/a,9/3/1999
All the Marbles,MGM,"$6,468,195",n/a,n/a,n/a,10/16/1981
All the President's Men,WB,"$70,600,000",n/a,n/a,n/a,4/7/1976
All the Pretty Horses,Mira.,"$15,540,353","1,593","$1,304,971","1,483",12/25/2000
All the Queen's Men,Strand,"$23,662",17,"$15,026",17,10/25/2002
All the Real Girls,SPC,"$549,666",25,"$39,417",6,2/14/2003
All the Right Moves,Fox,"$17,233,166",909,"$1,625,486",442,10/21/1983
All Things Fair,PFM,"$13,128",1,"$4,530",1,3/8/1996
All Things Must Pass,Grav.,"$172,394",14,"$19,001",2,10/16/2015
All Together,KL,"$43,180",10,"$12,887",10,10/19/2012
All You Need Is Love,Da.,n/a,n/a,n/a,n/a,10/31/2014
All's Faire in Love,Hann.,"$22,180",75,"$16,440",75,10/28/2011
"All's Well, End's Well (2012)",CL,"$47,919",20,"$23,250",20,1/27/2012
Allah Made Me Funny,N/A,"$66,903",14,"$38,867",14,10/3/2008
Allan Quatermain and the Lost City of Gold,Can.,"$3,751,699","1,000","$1,960,352","1,000",1/30/1987
Allegheny Uprising,RKO,n/a,n/a,n/a,n/a,11/10/1939
Allegro,ICir,"$7,404",1,$505,1,5/9/2007
Alleluia,MBox,"$6,334",3,"$2,712",3,7/17/2015
Allied,Par.,n/a,n/a,n/a,n/a,11/23/2016
The Allnighter,Uni.,"$2,700,000",977,"$1,419,581",977,5/1/1987
Almost an Angel,Par.,"$6,939,946","1,373","$1,608,365","1,373",12/22/1990
Almost Christmas,Uni.,n/a,n/a,n/a,n/a,11/11/2016
Almost Famous,DW,"$32,534,850","2,262","$2,314,646",131,9/15/2000
Almost Heroes,WB,"$6,136,856","2,048","$2,837,928","2,048",5/29/1998
Almost Holy,Orch.,"$21,142",10,"$4,195",5,5/20/2016
Almost Human,IFC,"$8,447",5,"$2,722",2,2/21/2014
Almost in Love,Argo.,"$2,510",1,"$1,110",1,2/15/2013
The Almost Man,BWP,n/a,n/a,n/a,n/a,8/1/2014
Almost Peaceful,Emp.,"$106,184",3,"$10,020",1,8/20/2004
An Almost Perfect Affair,Par.,"$85,493",n/a,n/a,n/a,4/27/1979
Almost Salinas,Strt,"$21,419",4,"$7,593",4,5/9/2003
Almost You,Fox,"$95,000",n/a,n/a,n/a,3/29/1985
Aloft,SPC,"$53,086",17,"$2,116",2,5/22/2015
Aloha,Sony,"$21,067,116","2,815","$9,670,235","2,815",5/29/2015
Aloha Summer,Spec.,"$418,379",123,n/a,n/a,2/26/1988
Alone in the Dark,Lions,"$5,178,569","2,124","$2,834,421","2,124",1/28/2005
Alone with Her,IFC,"$10,787",2,"$5,555",1,1/17/2007
Alone Yet Not Alone,S/IMA,"$887,851",103,"$125,775",11,9/27/2013
Along Came a Spider,Par.,"$74,078,174","2,573","$16,712,407","2,530",4/6/2001
Along Came Polly,Uni.,"$88,097,164","3,052","$27,721,185","2,984",1/16/2004
Along the Roadside,Indic.,"$1,352",n/a,$965,n/a,3/27/2015
Alpha and Omega,LGF,"$25,107,267","2,625","$9,106,906","2,625",9/17/2010
Alpha Dog,Uni.,"$15,309,602","1,292","$6,412,775","1,289",1/12/2007
Alphabet City,Atl,"$7,035,585",321,"$1,172,292",321,5/4/1984
The Alphabet Killer,Anch.,"$29,784",2,"$11,000",1,11/7/2008
Alphaville (2013 re-release),Rialto,"$47,696",2,"$7,298",1,2/7/2014
Alps,KL,"$16,057",3,"$2,628",2,7/13/2012
Already Tomorrow in Hong Kong,Grav.,"$21,206",11,"$14,966",10,2/12/2016
Altered,Rog.,n/a,n/a,n/a,n/a,N/A
Altered States,WB,"$19,853,892",n/a,"$174,650",3,12/25/1980
Altiplano,FRun,"$2,961",1,"$1,269",1,8/20/2010
Alvin and the Chipmunks,Fox,"$217,326,974","3,499","$44,307,417","3,475",12/14/2007
Alvin and the Chipmunks: Chipwrecked,Fox,"$133,110,742","3,734","$23,244,744","3,723",12/16/2011
Alvin and the Chipmunks: The Road Chip,Fox,"$85,886,987","3,705","$14,287,159","3,653",12/18/2015
Alvin and the Chipmunks: The Squeakquel,Fox,"$219,614,612","3,747","$48,875,415","3,700",12/23/2009
Always,Uni.,"$43,858,790","1,206","$3,713,480","1,016",12/22/1989
Always Kabhi Kabhi,Eros,"$21,381",29,"$14,570",29,6/17/2011
Amadeus,Orion,"$51,564,280*",802,"$505,276",25,9/21/1984
Amadeus (Director's Cut),WB,"$408,749*",18,"$86,764",18,4/5/2002
Amandla!,Art.,"$405,331",16,"$14,181",1,2/19/2003
Amarcord,Jan.,"$126,250",2,n/a,n/a,N/A
Amateur,SPC,"$757,088",n/a,n/a,n/a,5/19/1995
The Amateur,Fox,"$6,892,098",437,"$1,052,963",437,2/12/1982
The Amateurs,First,"$16,334",4,"$10,149",3,12/7/2007
The Amati Girls,Prov.,"$49,136",97,"$33,902",97,1/19/2001
The Amazing Catfish,Strand,"$11,342",3,$733,1,6/13/2014
An Amazing Couple: Trilogy 2,Magn.,"$47,806",2,"$8,572",1,2/6/2004
Amazing Grace,IDP,"$21,250,683","1,162","$4,054,542",791,2/23/2007
Amazing Grace and Chuck,TriS,n/a,n/a,n/a,n/a,4/10/1987
The Amazing Panda Adventure,WB,"$7,506,759","1,692","$2,413,107","1,692",8/25/1995
The Amazing Spider-Man,Sony,"$262,030,663","4,318","$62,004,688","4,318",7/3/2012
The Amazing Spider-Man 2,Sony,"$202,853,933","4,324","$91,608,337","4,324",5/2/2014
The Amazing Spider-Man 3,Sony,n/a,n/a,n/a,n/a,TBD
The Amazing Spider-Man 4,Sony,n/a,n/a,n/a,n/a,TBD
The Amazing Truth About Queen Raquela,Reg.,"$5,597",2,"$2,700",2,9/26/2008
Amazon Women on the Moon,Uni.,"$548,696",50,"$171,723",50,9/18/1987
The Ambassador,Drft.,"$28,102",8,"$13,046",4,8/29/2012
Ambassador Bill,Fox,n/a,n/a,n/a,n/a,11/13/1931
Ambrose Bierce: Civil War Stories,ScrL,"$22,918",1,"$4,402",1,9/14/2006
Amelia,FoxS,"$14,245,415","1,070","$3,904,047",820,10/23/2009
Amelie,Mira.,"$33,225,499",303,"$136,470",3,11/2/2001
Amen,Kino,"$274,299",9,"$16,284",5,1/24/2003
America (2014),LGF,"$14,444,502","1,105","$38,608",3,6/27/2014
America Betrayed,FRun,"$1,311",1,$245,1,3/27/2009
America the Beautiful,FInd.,"$76,173",5,"$6,760",1,5/9/2008
America the Beautiful 2: The Thin Commandments,PMKBNC,"$12,366",3,"$5,599",3,10/14/2011
America's Heart and Soul,BV,"$314,402",98,"$134,939",98,7/2/2004
America's Sweethearts,SonR,"$93,607,673","3,011","$30,181,877","3,011",7/20/2001
America: Freedom to Fascism,Libre,"$87,400",10,"$61,200",10,7/28/2006
The American,Focus,"$35,606,376","2,833","$13,177,790","2,823",9/1/2010
American Adobo,Outr.,"$344,992",7,"$41,001",3,1/25/2002
An American Affair,Scre.,"$28,044",2,"$11,700",2,2/27/2009
American Animal,Scre.,"$5,928",1,"$5,928",1,5/18/2012
American Anthem,Col.,"$4,845,724",900,"$1,867,969",900,6/27/1986
American Beauty,DW,"$130,096,601","1,990","$861,531",16,9/15/1999
American Buffalo,Gold.,"$665,450",73,"$164,109",29,9/13/1996
American Cannibal,Life,"$16,566",1,"$4,778",1,3/16/2007
An American Carol,Viv.,"$7,013,191","1,639","$3,656,000","1,639",10/3/2008
American Casino,Argo.,"$50,437",3,"$1,397",1,8/14/2009
American Chai,Magic,"$127,518",5,"$23,230",5,4/5/2002
An American Crime,First,n/a,n/a,n/a,n/a,N/A
American Desi,Eros,"$907,835",38,"$305,054",38,3/16/2001
American Dream,Mira.,"$269,823",7,"$9,291",2,3/18/1992
American Dreamer,WB,"$5,021,751",801,"$1,580,990",801,10/26/1984
American Dreamz,Uni.,"$7,191,830","1,500","$3,667,420","1,500",4/21/2006
American Flyers,WB,"$1,420,355",5,"$78,345",5,8/16/1985
The American Friend,NYer,n/a,n/a,n/a,n/a,9/26/1977
American Friends,Castle,"$23,034",3,"$5,334",2,4/9/1993
American Gangster,Uni.,"$130,164,645","3,110","$43,565,135","3,054",11/2/2007
American Gigolo,Par.,"$22,743,674",n/a,"$3,559,930",570,2/1/1980
American Graffiti,Uni.,"$115,000,000",n/a,n/a,n/a,8/1/1973
American Grindhouse,Lorb.,"$5,529",2,n/a,n/a,6/18/2010
American Gun,IFC,"$24,098",6,"$9,355",4,3/22/2006
American Hardcore,SPC,"$279,665",19,"$18,102",1,9/22/2006
An American Haunting,Free,"$16,298,046","1,703","$5,783,508","1,675",5/5/2006
American Heart,Trit,"$384,048",8,"$5,549",1,5/7/1993
American History X,NL,"$6,719,864",513,"$156,076",17,10/30/1998
American Honey,A24,n/a,n/a,n/a,n/a,9/30/2016
American Hot Wax,Par.,"$7,932,571",n/a,n/a,n/a,3/17/1978
American Hustle,Sony,"$150,117,807","2,629","$740,455",6,12/13/2013
An American in Paris,MGM,n/a,n/a,n/a,n/a,10/4/1951
American Made,Uni.,n/a,n/a,n/a,n/a,9/29/2017
American Made Movie,Vari.,"$45,175",6,"$1,613",2,8/30/2013
American Madness,Col.,n/a,n/a,n/a,n/a,8/4/1932
American Me,Uni.,"$13,086,430",830,"$3,378,100",830,3/13/1992
American Meat,LB,"$10,650",1,"$7,659",1,4/12/2013
American Movie,SPC,"$1,165,795",29,"$20,260",2,11/5/1999
American Mustang,Vita.,"$48,700",3,"$7,906",1,1/17/2014
American Ninja,Can.,"$10,499,694",672,"$3,234,837",672,8/30/1985
American Ninja 2,Can.,"$4,000,000",397,"$1,039,301",397,5/1/1987
American Ninja 3: Blood Hunt,Can.,"$902,152",140,"$222,252",140,2/24/1989
American Ninja 4: The Annihilation,Can.,"$358,047",171,"$277,462",171,3/8/1991
American Outlaws,WB,"$13,342,790","2,348","$4,855,475","2,348",8/17/2001
American Pastoral,LGF,n/a,n/a,n/a,n/a,10/21/2016
American Pie,Uni.,"$102,561,004","2,544","$18,709,680","2,508",7/9/1999
American Pie 2,Uni.,"$145,103,595","3,157","$45,117,985","3,063",8/10/2001
American Pimp,7Art,"$287,724",9,"$28,699",5,6/9/2000
American Pop,Col.,n/a,n/a,n/a,n/a,2/13/1981
The American President,Sony,"$60,079,496","1,508","$10,014,558","1,508",11/17/1995
American Promise,RFG,"$146,702",8,"$18,300",2,10/18/2013
American Psycho,Lions,"$15,070,285","1,242","$4,961,015","1,236",4/14/2000
American Reunion,Uni.,"$57,011,521","3,203","$21,514,080","3,192",4/6/2012
An American Rhapsody,ParC,"$850,255",54,"$40,200",7,8/10/2001
American Sniper,WB,"$350,126,372","3,885","$633,456",4,12/25/2014
American Splendor,FL,"$6,010,990",272,"$159,705",6,8/15/2003
American Storytellers,Indic.,"$24,082",1,"$2,974",1,11/7/2003
American Strays,Una.,"$1,910",1,"$1,183",1,9/13/1996
The American Success Company,Col.,n/a,n/a,n/a,n/a,Mar 1980
American Swing,Magn.,"$30,156",2,"$10,174",1,3/27/2009
An American Tail,Uni.,"$47,483,002","1,249","$5,234,446","1,246",11/21/1986
An American Tail: Fievel Goes West,Uni.,"$22,166,041","1,698","$3,435,625","1,680",11/22/1991
American Teacher,FRun,"$33,144",2,"$6,036",2,9/30/2011
American Teen,ParV,"$942,441",109,"$45,589",5,7/25/2008
American Ultra,LGF,"$14,440,985","2,778","$5,454,284","2,778",8/21/2015
American Violet,Gold.,"$554,434",61,"$243,162",61,4/17/2009
American Wedding,Uni.,"$104,565,114","3,175","$33,369,440","3,172",8/1/2003
An American Werewolf in London,Uni.,"$30,565,292",n/a,"$3,786,512",870,8/21/1981
An American Werewolf in Paris,BV,"$26,570,463","1,731","$7,600,878","1,728",12/25/1997
American Zombie,Libre,"$3,126",1,"$3,126",1,3/28/2008
American: The Bill Hicks Story,Vari.,"$92,234",11,"$5,872",1,4/8/2011
Americanese,IFC,n/a,n/a,n/a,n/a,TBD
The Americanization of Emily,MGM,n/a,n/a,n/a,n/a,10/27/1964
Americanizing Shelley,RM,"$128,024",5,"$9,434",2,4/26/2007
Americathon,MGM,"$6,171,763",n/a,n/a,n/a,8/10/1979
Americons,AD,"$28,782",14,"$14,404",14,1/23/2015
AmeriGeddon,Forewarned,"$316,554",30,"$125,571",30,5/13/2016
Amexicano,Maya,"$8,655",1,"$2,746",1,9/19/2008
Amigo,Vari.,"$184,705",10,"$37,324",10,8/19/2011
