Movie Name,Status,Language,Runtime,Budget,Revenue,8,9,10,11,12,13,14
The Hateful Eight (2015),Released,English,2h 47m,"$44,000,000.00","$155,760,117.00",Samuel L. Jackson,Kurt Russell,Jennifer Jason Leigh,Walton Goggins,DemiÌÁn Bichir,Tim Roth,Full Cast & Crew
Eye in the Sky (2015),Released,English,1h 42m,"$13,000,000.00","$32,848,185.00",Helen Mirren,Aaron Paul,Alan Rickman,Iain Glen,Barkhad Abdi,Phoebe Fox,Full Cast & Crew
Run All Night (2015),Released,English,1h 54m,"$50,000,000.00","$71,561,644.00",Liam Neeson,Ed Harris,Joel Kinnaman,Boyd Holbrook,Bruce McGill,GÌ©nesis RodrÌ_guez,Full Cast & Crew
Taken 3 (2015),Released,English,1h 49m,"$48,000,000.00","$325,771,424.00",Liam Neeson,Forest Whitaker,Famke Janssen,Maggie Grace,Dougray Scott,Sam Spruell,Full Cast & Crew
Whiplash (2014),Released,English,1h 45m,"$3,300,000.00","$13,993,092.00",Miles Teller,J.K. Simmons,Melissa Benoist,Austin Stowell,Jayson Blair,Kavita Patil,Full Cast & Crew
The Neon Demon (2016),Released,English,1h 57m,"$6,000,000.00",-,Elle Fanning,Karl Glusman,Jena Malone,Bella Heathcote,Abbey Lee,Christina Hendricks,Full Cast & Crew
Blair Witch (2016),Released,English,1h 30m,-,-,Corbin Reid,Wes Robinson,Valorie Curry,James Allen McCune,Callie Hernandez,Brandon Scott,Full Cast & Crew
Alice in Wonderland (2010),Released,English,1h 48m,"$200,000,000.00","$1,025,467,110.00",Johnny Depp,Anne Hathaway,Helena Bonham Carter,Crispin Glover,Mia Wasikowska,Marton Csokas,Full Cast & Crew
Train to Busan (2016),Released,Korean,1h 58m,-,-,Gong Yoo,Ma Dong-Seok,Jung Yoo-mi,Choi Woo-shik,Ahn So-hee,Kim Soo-Ahn,Full Cast & Crew
Ben-Hur (2016),Post Production,English,2h 21m,-,-,Jack Huston,Nazanin Boniadi,Morgan Freeman,Toby Kebbell,Rodrigo Santoro,Ayelet Zurer,Full Cast & Crew
Kung Fu Panda 3 (2016),Released,English,1h 35m,"$145,000,000.00","$519,881,355.00",Jack Black,Bryan Cranston,Dustin Hoffman,Angelina Jolie,J.K. Simmons,Jackie Chan,Full Cast & Crew
Triple 9 (2016),Released,English,1h 55m,"$28,000,000.00","$12,639,297.00",Casey Affleck,Chiwetel Ejiofor,Kate Winslet,Aaron Paul,Norman Reedus,Gal Gadot,Full Cast & Crew
The Dark Knight Rises (2012),Released,English,2h 45m,"$250,000,000.00","$1,081,041,287.00",Christian Bale,Michael Caine,Gary Oldman,Anne Hathaway,Tom Hardy,Marion Cotillard,Full Cast & Crew
Student Services (2010),Released,French,1h 41m,-,-,DÌ©borah FranÌ_ois,Mathieu Demy,Alain Cauchi,Benjamin Siksou,Anna Sigalevitch,Full Cast & Crew,
Up (2009),Released,English,1h 36m,"$175,000,000.00","$731,342,744.00",Ed Asner,Christopher Plummer,Jordan Nagai,Bob Peterson,Delroy Lindo,Jerome Ranft,Full Cast & Crew
Avatar (2009),Released,English,2h 42m,"$237,000,000.00","$2,781,505,847.00",Sam Worthington,Zoe Saldana,Sigourney Weaver,Stephen Lang,Michelle Rodriguez,Giovanni Ribisi,Full Cast & Crew
What Every Frenchwoman Wants (1986),Released,French,1h 35m,-,-,Serena Grandi,Fabrice Josso,Marina Vlady,Claudine Auger,FranÌ_ois Perrot,AurÌ©lien Recoing,Full Cast & Crew
The Fault in Our Stars (2014),Released,English,2h 5m,"$12,000,000.00","$305,151,265.00",Shailene Woodley,Ansel Elgort,Nat Wolff,Laura Dern,Sam Trammell,Willem Dafoe,Full Cast & Crew
Star Wars (1977),Released,English,2h 1m,"$11,000,000.00","$775,398,007.00",Mark Hamill,Harrison Ford,Carrie Fisher,Peter Cushing,Alec Guinness,Anthony Daniels,Full Cast & Crew
Room (2015),Released,English,1h 57m,"$6,000,000.00","$35,401,758.00",Brie Larson,Jacob Tremblay,Joan Allen,Sean Bridgers,William H. Macy,Megan Park,Full Cast & Crew
