Movie Name,Studio,Status,Language,Runtime,Budget,Revenue,8,9,10,11,12,13,14
The Conjuring (2013),WB (NL),Released,English,1h 52m,"$13,000,000.00","$318,000,141.00",Patrick Wilson,Vera Farmiga,Lili Taylor,Ron Livingston,Hayley McFarland,Mackenzie Foy,Full Cast & Crew
The Wolf of Wall Street (2013),Par.,Released,English,3h 0m,"$100,000,000.00","$392,000,694.00",Leonardo DiCaprio,Jonah Hill,Margot Robbie,Kyle Chandler,Rob Reiner,Matthew McConaughey,Full Cast & Crew
Bridget Jones's Baby (2016),Uni.,Post Production,English,2h 3m,"$35,000,000.00",-,Colin Firth,RenÌ©e Zellweger,Patrick Dempsey,Sally Phillips,Jim Broadbent,Gemma Jones,Full Cast & Crew
Transformers: Age of Extinction (2014),Par.,Released,English,2h 45m,"$210,000,000.00","$245,500,000.00",Mark Wahlberg,Stanley Tucci,Nicola Peltz,Jack Reynor,Li Bingbing,Sophia Myles,Full Cast & Crew
Thor: The Dark World (2013),BV,Released,English,1h 52m,"$170,000,000.00","$479,765,000.00",Chris Hemsworth,Natalie Portman,Tom Hiddleston,Anthony Hopkins,Christopher Eccleston,Jaimie Alexander,Full Cast & Crew
The Matrix (1999),WB,Released,English,2h 16m,"$63,000,000.00","$463,517,383.00",Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,Hugo Weaving,Gloria Foster,Joe Pantoliano,Full Cast & Crew
Fast 8 (2017),Uni.,In Production,English,-,"$50,000,000.00",-,Vin Diesel,Jason Statham,Dwayne Johnson,Kurt Russell,Michelle Rodriguez,Charlize Theron,Full Cast & Crew
Pirates of the Caribbean: The Curse of the Black Pearl (2003),BV,Released,English,2h 23m,"$140,000,000.00","$655,011,224.00",Johnny Depp,Geoffrey Rush,Orlando Bloom,Keira Knightley,Jack Davenport,Kevin McNally,Full Cast & Crew
Wild Card (2015),Lions,Released,English,1h 32m,"$30,000,000.00",-,Jason Statham,Michael Angarano,Milo Ventimiglia,Dominik GarcÌ_a-Lorido,Anne Heche,SofÌ_a Vergara,Full Cast & Crew
The Lord of the Rings: The Two Towers (2002),NL,Released,English,2h 59m,"$79,000,000.00","$926,287,400.00",Elijah Wood,Ian McKellen,Viggo Mortensen,Liv Tyler,Orlando Bloom,John Rhys-Davies,Full Cast & Crew
Child 44 (2015),LG/S,Released,English,2h 17m,"$50,000,000.00","$3,324,330.00",Tom Hardy,Gary Oldman,Noomi Rapace,Joel Kinnaman,Paddy Considine,Jason Clarke,Full Cast & Crew
The Purge: Anarchy (2014),Uni.,Released,English,1h 44m,"$9,000,000.00","$108,782,847.00",Frank Grillo,Carmen Ejogo,Zach Gilford,Kiele Sanchez,ZoÌÇ Borde,Justina Machado,Full Cast & Crew
Pitch Perfect 2 (2015),Uni.,Released,English,1h 55m,"$29,000,000.00","$286,633,264.00",Anna Kendrick,Rebel Wilson,Hailee Steinfeld,Brittany Snow,Skylar Astin,Adam DeVine,Full Cast & Crew
Sicario (2015),LGF,Released,English,2h 1m,"$30,000,000.00","$84,025,816.00",Emily Blunt,Benicio del Toro,Josh Brolin,Victor Garber,Jon Bernthal,Daniel Kaluuya,Full Cast & Crew
Gods of Egypt (2016),LG/S,Released,English,2h 7m,"$140,000,000.00","$143,055,748.00",Brenton Thwaites,Nikolaj Coster-Waldau,Gerard Butler,Courtney Eaton,Elodie Yung,Geoffrey Rush,Full Cast & Crew
How to Be Single (2016),WB (NL),Released,English,1h 50m,"$38,000,000.00","$112,000,000.00",Dakota Johnson,Rebel Wilson,Alison Brie,Nicholas Braun,Damon Wayans Jr.,Anders Holm,Full Cast & Crew
